SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
17,"<div id=sub17in4"" class=""noChange"">Internet</div>""",#sub17in4,Internet,noChange,74.809,1436443187076,1436443189583," ""718""",735.0234375,718,735,119,42
18,"<div id=sub18in0"" class=""noChange"">has</div>""",#sub18in0,has,noChange,77.564,1436443189834,1436443193090," ""718""",270.234375,718,270,62,42
18,"<div id=sub18in1"" class=""noChange"">provided</div>""",#sub18in1,provided,noChange,77.564,1436443189834,1436443193090," ""718""",340.71875,718,340,134,42
18,"<div id=sub18in2"" class=""noChange"">informationfor</div>""",#sub18in2,informationfor,noChange,77.564,1436443189834,1436443193090," ""718""",482.359375,718,482,206,42
18,"<div id=sub18in3"" class=""noChange"">the</div>""",#sub18in3,the,noChange,77.564,1436443189834,1436443193090," ""718""",696.890625,718,696,56,42
18,"<div id=sub18in4"" class=""noChange"">next</div>""",#sub18in4,next,noChange,77.564,1436443189834,1436443193090," ""718""",760.265625,718,760,71,42
18,"<div id=sub18in5"" class=""noChange"">generation.</div>""",#sub18in5,generation.,noChange,77.564,1436443189834,1436443193090," ""718""",839.640625,718,839,171,42
19,"<div id=sub19in0"" class=""noChange"">And</div>""",#sub19in0,And,noChange,83.844,1436443196097,1436443198853," ""718""",302.03125,718,302,67,42
19,"<div id=sub19in1"" class=""noChange"">after</div>""",#sub19in1,after,noChange,83.844,1436443196097,1436443198853," ""718""",377.859375,718,377,75,42
19,"<div id=sub19in2"" class=""noChange"">25</div>""",#sub19in2,25,noChange,83.844,1436443196097,1436443198853," ""718""",460.78125,718,460,47,42
19,"<div id=sub19in3"" class=""noChange"">years</div>""",#sub19in3,years,noChange,83.844,1436443196097,1436443198853," ""718""",515.265625,718,515,89,42
19,"<div id=sub19in4"" class=""noChange"">of</div>""",#sub19in4,of,noChange,83.844,1436443196097,1436443198853," ""718""",612.40625,718,612,38,42
19,"<div id=sub19in5"" class=""noChange"">enjoying</div>""",#sub19in5,enjoying,noChange,83.844,1436443196097,1436443198853," ""718""",657.984375,718,657,131,42
19,"<div id=sub19in6"" class=""noChange"">the</div>""",#sub19in6,the,noChange,83.844,1436443196097,1436443198853," ""718""",796.078125,718,796,55,42
19,"<div id=sub19in7"" class=""noChange"">Internet</div>""",#sub19in7,Internet,noChange,83.844,1436443196097,1436443198853," ""718""",859.453125,718,859,119,42
20,"<div id=sub20in0"" class=""noChange"">today</div>""",#sub20in0,today,noChange,86.972,1436443199104,1436443201359," ""718""",435.3359375,718,435,89,42
20,"<div id=sub20in1"" class=""noChange"">as</div>""",#sub20in1,as,noChange,86.972,1436443199104,1436443201359," ""718""",532.5078125,718,532,45,42
20,"<div id=sub20in2"" class=""noChange"">a</div>""",#sub20in2,a,noChange,86.972,1436443199104,1436443201359," ""718""",585.1953125,718,585,28,42
20,"<div id=sub20in3"" class=""noChange control"">space</div>""",#sub20in3,space,control,86.972,1436443199104,1436443201359," ""718""",621.8828125,718,621,97,42
20,"<div id=sub20in4"" class=""noChange control"">cowboy</div>""",#sub20in4,cowboy,control,86.972,1436443199104,1436443201359," ""718""",726.1640625,718,726,119,42
21,"<div id=sub21in0"" class=""noChange"">I</div>""",#sub21in0,I,noChange,89.524,1436443201609,1436443207122," ""718""",104.171875,718,104,20,42
21,"<div id=sub21in1"" class=""noChange"">have</div>""",#sub21in1,have,noChange,89.524,1436443201609,1436443207122," ""718""",131.953125,718,131,81,42
21,"<div id=sub21in2"" class=""noChange"">digital</div>""",#sub21in2,digital,noChange,89.524,1436443201609,1436443207122," ""718""",220.234375,718,220,94,42
21,"<div id=sub21in3"" class=""noChange"">cameras</div>""",#sub21in3,cameras,noChange,89.524,1436443201609,1436443207122," ""718""",322.734375,718,322,134,42
