SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
10,"<div id=sub10in13"" class=""noChange"">radically.</div>""",#sub10in13,radically.,noChange,44.667,1436442891879,1436442893884," ""718""",1088.6875,718,1088,137,42
11,"<div id=sub11in0"" class=""noChange control"">89%</div>""",#sub11in0,89%,control,46.964,1436442894135,1436442899145," ""718""",165.734375,718,165,75,42
11,"<div id=sub11in1"" class=""noChange"">of</div>""",#sub11in1,of,noChange,46.964,1436442894135,1436442899145," ""718""",248.671875,718,248,38,42
11,"<div id=sub11in2"" class=""noChange"">the</div>""",#sub11in2,the,noChange,46.964,1436442894135,1436442899145," ""718""",294.25,718,294,55,42
11,"<div id=sub11in3"" class=""noChange"">entire</div>""",#sub11in3,entire,noChange,46.964,1436442894135,1436442899145," ""718""",357.625,718,357,91,42
11,"<div id=sub11in4"" class=""noChange"">world</div>""",#sub11in4,world,noChange,46.964,1436442894135,1436442899145," ""718""",456.5625,718,456,88,42
11,"<div id=sub11in5"" class=""noChange"">population</div>""",#sub11in5,population,noChange,46.964,1436442894135,1436442899145," ""718""",551.921875,718,551,159,42
11,"<div id=sub11in6"" class=""noChange"">is</div>""",#sub11in6,is,noChange,46.964,1436442894135,1436442899145," ""718""",718.5,718,718,34,42
11,"<div id=sub11in7"" class=""noChange control"">studying</div>""",#sub11in7,studying,control,46.964,1436442894135,1436442899145," ""718""",760.5,718,760,130,42
11,"<div id=sub11in8"" class=""noChange control"">in</div>""",#sub11in8,in,control,46.964,1436442894135,1436442899145," ""718""",898.578125,718,898,36,42
11,"<div id=sub11in9"" class=""noChange control"">highschool.</div>""",#sub11in9,highschool.,control,46.964,1436442894135,1436442899145," ""718""",942.375,718,942,173,42
12,"<div id=sub12in0"" class=""noChange"">For</div>""",#sub12in0,For,noChange,52.712,1436442899897,1436442901400," ""718""",426.828125,718,426,59,42
12,"<div id=sub12in1"" class=""noChange"">the</div>""",#sub12in1,the,noChange,52.712,1436442899897,1436442901400," ""718""",493.71875,718,493,56,42
12,"<div id=sub12in2"" class=""noChange control"">last</div>""",#sub12in2,last,control,52.712,1436442899897,1436442901400," ""718""",557.09375,718,557,60,42
12,"<div id=sub12in3"" class=""noChange"">time</div>""",#sub12in3,time,noChange,52.712,1436442899897,1436442901400," ""718""",625.78125,718,625,72,42
12,"<div id=sub12in4"" class=""noChange"">in</div>""",#sub12in4,in,noChange,52.712,1436442899897,1436442901400," ""718""",705.125,718,705,36,42
12,"<div id=sub12in5"" class=""noChange"">history</div>""",#sub12in5,history,noChange,52.712,1436442899897,1436442901400," ""718""",748.921875,718,748,106,42
13,"<div id=sub13in0"" class=""noChange"">we</div>""",#sub13in0,we,noChange,54.424,1436442901651,1436442903654," ""718""",158.1015625,718,158,52,42
13,"<div id=sub13in1"" class=""noChange"">find</div>""",#sub13in1,find,noChange,54.424,1436442901651,1436442903654," ""718""",217.8984375,718,217,63,42
13,"<div id=sub13in2"" class=""noChange"">ourselves</div>""",#sub13in2,ourselves,noChange,54.424,1436442901651,1436442903654," ""718""",288.3828125,718,288,148,42
13,"<div id=sub13in3"" class=""noChange control"">face</div>""",#sub13in3,face,control,54.424,1436442901651,1436442903654," ""718""",444.2265625,718,444,71,42
13,"<div id=sub13in4"" class=""noChange control"">to</div>""",#sub13in4,to,control,54.424,1436442901651,1436442903654," ""718""",523.6015625,718,523,38,42
13,"<div id=sub13in5"" class=""noChange control"">face</div>""",#sub13in5,face,control,54.424,1436442901651,1436442903654," ""718""",569.1796875,718,569,71,42
13,"<div id=sub13in6"" class=""noChange control"">with</div>""",#sub13in6,with,control,54.424,1436442901651,1436442903654," ""718""",648.5546875,718,648,68,42
13,"<div id=sub13in7"" class=""noChange"">an</div>""",#sub13in7,an,noChange,54.424,1436442901651,1436442903654," ""718""",724.3515625,718,724,46,42
13,"<div id=sub13in8"" class=""noChange"">extremely</div>""",#sub13in8,extremely,noChange,54.424,1436442901651,1436442903654," ""718""",778.8359375,718,778,150,42
13,"<div id=sub13in9"" class=""noChange control"">baby</div>""",#sub13in9,baby,control,54.424,1436442901651,1436442903654," ""718""",936.4296875,718,936,80,42
13,"<div id=sub13in10"" class=""noChange"">planet</div>""",#sub13in10,planet,noChange,54.424,1436442901651,1436442903654," ""718""",1024.710938,718,1024,98,42
14,"<div id=sub14in0"" class=""noChange"">with</div>""",#sub14in0,with,noChange,56.726,1436442903905,1436442906413," ""718""",380.515625,718,380,68,42
14,"<div id=sub14in1"" class=""noChange"">a</div>""",#sub14in1,a,noChange,56.726,1436442903905,1436442906413," ""718""",456.3125,718,456,29,42
14,"<div id=sub14in2"" class=""noChange"">lot</div>""",#sub14in2,lot,noChange,56.726,1436442903905,1436442906413," ""718""",493,718,493,44,42
14,"<div id=sub14in3"" class=""noChange"">of</div>""",#sub14in3,of,noChange,56.726,1436442903905,1436442906413," ""718""",545.6875,718,545,38,42
14,"<div id=sub14in4"" class=""noChange"">unexplored</div>""",#sub14in4,unexplored,noChange,56.726,1436442903905,1436442906413," ""718""",591.265625,718,591,169,42
14,"<div id=sub14in5"" class=""noChange"">potential</div>""",#sub14in5,potential,noChange,56.726,1436442903905,1436442906413," ""718""",768.5,718,768,132,42
15,"<div id=sub15in0"" class=""noChange"">but</div>""",#sub15in0,but,noChange,59.325,1436442906661,1436442909167," ""718""",124.953125,718,124,56,42
15,"<div id=sub15in1"" class=""noChange"">mostly</div>""",#sub15in1,mostly,noChange,59.325,1436442906661,1436442909167," ""718""",188.328125,718,188,103,42
15,"<div id=sub15in2"" class=""noChange"">a</div>""",#sub15in2,a,noChange,59.325,1436442906661,1436442909167," ""718""",299.671875,718,299,29,42
15,"<div id=sub15in3"" class=""noChange"">lot</div>""",#sub15in3,lot,noChange,59.325,1436442906661,1436442909167," ""718""",336.359375,718,336,45,42
15,"<div id=sub15in4"" class=""noChange"">of</div>""",#sub15in4,of,noChange,59.325,1436442906661,1436442909167," ""718""",389.046875,718,389,37,42
15,"<div id=sub15in5"" class=""noChange"">opportunity</div>""",#sub15in5,opportunity,noChange,59.325,1436442906661,1436442909167," ""718""",434.625,718,434,169,42
15,"<div id=sub15in6"" class=""noChange"">that</div>""",#sub15in6,that,noChange,59.325,1436442906661,1436442909167," ""718""",611.84375,718,611,65,42
15,"<div id=sub15in7"" class=""noChange"">up</div>""",#sub15in7,up,noChange,59.325,1436442906661,1436442909167," ""718""",684.109375,718,684,46,42
15,"<div id=sub15in8"" class=""noChange"">until</div>""",#sub15in8,until,noChange,59.325,1436442906661,1436442909167," ""718""",738.59375,718,738,70,42
15,"<div id=sub15in9"" class=""noChange"">now</div>""",#sub15in9,now,noChange,59.325,1436442906661,1436442909167," ""718""",816.1875,718,816,69,42
15,"<div id=sub15in10"" class=""noChange"">has</div>""",#sub15in10,has,noChange,59.325,1436442906661,1436442909167," ""718""",893.78125,718,893,63,42
15,"<div id=sub15in11"" class=""noChange"">not</div>""",#sub15in11,not,noChange,59.325,1436442906661,1436442909167," ""718""",964.265625,718,964,55,42
15,"<div id=sub15in12"" class=""noChange"">possible</div>""",#sub15in12,possible,noChange,59.325,1436442906661,1436442909167," ""718""",1027.640625,718,1027,129,42
16,"<div id=sub16in0"" class=""noChange"">for</div>""",#sub16in0,for,noChange,62.304,1436442909418,1436442910920," ""718""",268.59375,718,268,48,42
16,"<div id=sub16in1"" class=""noChange"">example</div>""",#sub16in1,example,noChange,62.304,1436442909418,1436442910920," ""718""",324.828125,718,324,132,42
16,"<div id=sub16in2"" class=""noChange control"">the</div>""",#sub16in2,the,control,62.304,1436442909418,1436442910920," ""718""",464.671875,718,464,56,42
16,"<div id=sub16in3"" class=""noChange control"">horse</div>""",#sub16in3,horse,control,62.304,1436442909418,1436442910920," ""718""",528.046875,718,528,91,42
16,"<div id=sub16in4"" class=""noChange control"">raced</div>""",#sub16in4,raced,control,62.304,1436442909418,1436442910920," ""718""",626.984375,718,626,92,42
16,"<div id=sub16in5"" class=""noChange control"">past</div>""",#sub16in5,past,control,62.304,1436442909418,1436442910920," ""718""",725.921875,718,725,72,42
16,"<div id=sub16in6"" class=""noChange control"">the</div>""",#sub16in6,the,control,62.304,1436442909418,1436442910920," ""718""",805.296875,718,805,55,42
16,"<div id=sub16in7"" class=""noChange control"">barn</div>""",#sub16in7,barn,control,62.304,1436442909418,1436442910920," ""718""",868.671875,718,868,75,42
16,"<div id=sub16in8"" class=""noChange control"">fell.</div>""",#sub16in8,fell.,control,62.304,1436442909418,1436442910920," ""718""",951.609375,718,951,61,42
17,"<div id=sub17in0"" class=""noChange"">Youth</div>""",#sub17in0,Youth,noChange,63.917,1436442911171,1436442914179," ""718""",298.1796875,718,298,94,42
17,"<div id=sub17in1"" class=""noChange"">Action</div>""",#sub17in1,Action,noChange,63.917,1436442911171,1436442914179," ""718""",400.6953125,718,400,100,42
17,"<div id=sub17in2"" class=""noChange"">for</div>""",#sub17in2,for,noChange,63.917,1436442911171,1436442914179," ""718""",508.5234375,718,508,48,42
17,"<div id=sub17in3"" class=""noChange"">Change</div>""",#sub17in3,Change,noChange,63.917,1436442911171,1436442914179," ""718""",564.7578125,718,564,123,42
